word;etymology;related
lâ;<p>lâdinî</p>;
irdele|mek;"<p> <b>Eski Türkçe</b> <i>irte-</i> ""izlemek, aramak"" fiilinden Türkiye Türkçesinde <a class=""presufgram"" href=""?s=structures&amp;ttype=t&amp;ww=%2BAlA-"">+AlA-</a> ekiyle türetilmiştir. Eski Türkçe fiil <b>Eski Türkçe</b> <i>iz</i> sözcüğünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BdA-"">+dA-</a> ekiyle türetilmiştir.</p>";
toygar;"<p> <b>Eski Türkçe</b> <i>turıġa </i>veya<i> torıġa</i> ""serçeden büyük bir kuş, alauda"" sözcüğünden evrilmiştir. </p>";
gelberi;<p> <b>Türkiye Türkçesi</b> <i>gel beri</i> sözcüğünden evrilmiştir. </p>;
işve;"<p> <b>Farsça</b> <i>işva </i>veya<i> şīva</i> إشوه/شيوه <span style=""visibility:hidden;font-size:0px"">z</span> ""naz, eda, jest, cilve"" sözcüğünden alıntıdır. </p>";
deskriptif;"<p> <b>Fransızca </b> <i>déscriptif</i> ""tasviri"" sözcüğünden alıntıdır. Fransızca sözcük <b>Latince</b> <i>describere</i> ""suretini çıkarmak, yazı veya çizimle tasvir etmek"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2B%28%29tiv%C2%B0"">+()tiv°</a> ekiyle türetilmiştir. Bu sözcük <b>Latince</b> <i>scribere, script-</i> ""yazmak, çizmek"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=de%2B"">de+</a> önekiyle türetilmiştir.</p>";
yatay;"<p> <b>Türkiye Türkçesi</b> <i>yat-</i> fiilinden Yeni Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=y&amp;ww=%2B%28g%29Ay"">+(g)Ay</a> ekiyle türetilmiştir.</p>";
akala;"<p> <b>İngilizce </b> <i>acala cotton</i> ""uzun lifli ve böceklenmeye dayanıklı bir pamuk türü"" deyiminden alıntıdır. (İlk kullanımı: <u>1906 C.B.Doyle &amp; G.N.Collins, Amer. tarım uzmanı.</u>) İngilizce deyim <i>Acala</i> ""Meksika'da bir kent"" <b>özel adından</b> türetilmiştir. </p>";
kırmızı;"<p> <b>Arapça ve Farsça</b> <i>ḳirmizī</i> قرمزى <span style=""visibility:hidden;font-size:0px"">z</span> ""canlı kırmızı boya"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça ve Farsça</b> <i>ḳ‎rmz</i> kökünden gelen <i>ḳirmiz</i> قرمز <span style=""visibility:hidden;font-size:0px"">z</span> ""kırmızı boya veren bir böcek, koşnil"" sözcüğünün nisbet halidir. Bu sözcük <b>Sanskritçe</b> <i>kr̥mi</i> कृमि <span style=""visibility:hidden;font-size:0px"">z</span> ""kurtçuk, larva, böcek"" sözcüğünden alıntıdır. Sanskritçe sözcük <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*kʷr̥mis</i> ""kurtçuk"" biçiminden evrilmiştir. </p>";
feci;"<p> <b>Arapça</b> <i>fcˁ</i> kökünden gelen <i>facīˁ</i> فجيع <span style=""visibility:hidden;font-size:0px"">z</span> ""elemli, ıstırap veren"" sözcüğünden türetilmiştir. Arapça sözcük <b>Arapça</b> <i>facaˁa</i> فَجَعَ <span style=""visibility:hidden;font-size:0px"">z</span> ""acı verdi, canını yaktı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81%C4%ABl"">faˁīl</a> vezninde sıfatıdır. </p>";
esaret;"<p> <b>Arapça</b> <i>Asr</i> kökünden gelen <i>isāra(t)</i> إسارة <span style=""visibility:hidden;font-size:0px"">z</span> ""tutsak olma"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>asīr</i> أسير <span style=""visibility:hidden;font-size:0px"">z</span> ""tutsak"" sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fi%CB%81%C4%81la%28t%29"">fiˁāla(t)</a> vezninde masdarıdır. </p>";
krizalit;"<p> <b>Fransızca </b> <i>chrysalide</i> ""kelebeklerin orta yaşam evresi"" sözcüğünden alıntıdır. Fransızca sözcük <b>Eski Yunanca</b> <i>χrysállis, χrysallid-</i> χρυσάλλις, χρυσαλλιδ- <span style=""visibility:hidden;font-size:0px"">z</span> ""«altın kabuk», kelebeklerin orta yaşam evresi"" sözcüğünden alıntıdır. Bu sözcük <b>Eski Yunanca</b> <i>χrýsos</i> χρύσος <span style=""visibility:hidden;font-size:0px"">z</span> ""altın"" sözcüğünden türetilmiştir. Yunanca sözcük <b>Fenike dilinde</b> aynı anlama gelen <i>ḥrwṣ</i> sözcüğünden alıntıdır. Bu sözcük <b>Akatça</b> aynı anlama gelen <i>χurāṣu</i> sözcüğü ile eş kökenlidir. </p>";
anı;"<p> <b>Türkiye Türkçesi</b> <i>an-</i> fiilinden Yeni Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=y&amp;ww=%2BI%28g%29"">+I(g)</a> ekiyle türetilmiştir.</p>";
uz;<p> <b>Türkiye Türkçesi</b> <i>uzak</i> sözcüğü ile eş kökenlidir. </p>;
kıpır;"<p> <i>kıpıl </i>veya<i> kıpır</i> ""durduğu yerde devinme sesi"" anlamında <b>ses yansımalı sözcüktür.</b> </p>";
hümanist;"<p> <b>Fransızca </b> <i>humaniste</i> ""1. antik Yunan ve Latin kültürüne vakıf kimse, 2. insancıl"" sözcüğünden alıntıdır. Fransızca sözcük <b>İtalyanca</b> aynı anlama gelen <i>umanista</i> sözcüğünden alıntıdır. (İlk kullanımı: <u>Lodovicio Ariosto (1474-1533), İt. şair.</u>) Bu sözcük <b>Latince</b> <i>humanus</i> ""insani"" sözcüğünden türetilmiştir. Latince sözcük <b>Latince</b> <i>homo, homin-</i> ""«toprağa ait», insan"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Ban%C2%B0"">+an°</a> ekiyle türetilmiştir. Latince sözcük <b>Latince</b> <i>humus</i> ""toprak"" sözcüğünden türetilmiştir. </p>";
gringo;"<p> <b>İspanyolca </b> <i>gringo</i> ""Meksika'da yabancılara ve özellikle Amerikalılara verilen aşağılayıcı ad"" sözcüğünden alıntıdır. İspanyolca sözcük <i>griego</i> ""Yunanlı"" <b>özel adından</b> türetilmiştir. Bu sözcük <b>Latince</b> <i>Graecus</i> ""Romalıların Yunanlılara verdiği ad"" <b>özel adından</b> türetilmiştir. </p>";
dürt|mek;"<p> <b>Eski Türkçe</b> <i>türt-</i> ""yağ sürmek"" fiilinden evrilmiştir. Eski Türkçe fiil <b>Eski Türkçe</b> <i>tür-</i> ""dürmek, toplamak"" fiilinden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BIt-"">+It-</a> ekiyle türetilmi olabilir; ancak bu kesin değildir. </p>";
ketum;"<p> <b>Arapça</b> <i>ktm</i> kökünden gelen <i>katūm</i> كتوم <span style=""visibility:hidden;font-size:0px"">z</span> ""susan, sır tutan"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>katama</i> كتم <span style=""visibility:hidden;font-size:0px"">z</span> ""sustu"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81%C5%ABl"">faˁūl</a> vezninde ismi mübalağasıdır. </p>";
kalas;"<p> <i>Kalas</i> ""Romanya'da bir liman kenti, Galati"" <b>özel adından</b> alıntıdır. </p>";
kraniyum;"<p> <b>Latince</b> <i>cranium</i> ""kafa, kafatası"" sözcüğünden alıntıdır. Latince sözcük <b>Eski Yunanca</b> aynı anlama gelen <i>kránion</i> κράνιον <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünden alıntıdır. Bu sözcük <b>Eski Yunanca</b> <i>kára</i> κάρα <span style=""visibility:hidden;font-size:0px"">z</span> ""kafa"" sözcüğünün küçültme halidir. Yunanca sözcük <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*ker-<sup>1</sup></i> ""kafatası, boynuz"" kökünden türetilmiştir. </p>";
umran;"<p> <b>Arapça</b> <i>ˁmr</i> kökünden gelen <i>ˁumrān</i> عمران <span style=""visibility:hidden;font-size:0px"">z</span> ""şen ve mamur olma, bayındırlık, mamurluk"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁamara</i> عَمَرَ <span style=""visibility:hidden;font-size:0px"">z</span> ""can verdi, şenlendirdi"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fu%CB%81l%C4%81n"">fuˁlān</a> vezninde masdarıdır. </p>";
antilop;"<p> <b>Fransızca </b> <i>antilope</i> ""ceylan"" sözcüğünden alıntıdır. Fransızca sözcük <b>Geç Latince</b> <i>anthalopus</i> ""bir efsane yaratığı"" sözcüğünden alıntıdır. Bu sözcük <b>Orta Yunanca</b> aynı anlama gelen <i>ánthalops</i> άνθαλοψ <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünden alıntıdır. </p>";
tahakkuk;"<p> <b>Arapça</b> <i>ḥḳḳ</i> kökünden gelen <i>taḥaḳḳuḳ</i> تحقّق <span style=""visibility:hidden;font-size:0px"">z</span> ""gerçekleşme, doğru çıkma, konfirme edilme"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ḥaḳḳa</i> حَقَّ <span style=""visibility:hidden;font-size:0px"">z</span> ""doğru ve gerçek idi"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=tafa%CB%81%CB%81ul"">tafaˁˁul</a> vezninde (V) masdarıdır. </p>";
susa|mak;"<p> <b>Eski Türkçe</b> <i>suvsa-</i> ""susamak"" fiilinden evrilmiştir. Eski Türkçe fiil <b>Eski Türkçe</b> <i>suv</i> ""su"" sözcüğünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BsA-"">+sA-</a> ekiyle türetilmiştir.</p>";
cızbız;"<p> <i>cız</i> ""cızırtı sesi"" ses yansımalı sözcüğünden türetilmiştir. </p>";
dair;"<p> <b>Arapça</b> <i>dwr</i> kökünden gelen <i>dāˀir</i> دائر <span style=""visibility:hidden;font-size:0px"">z</span> ""bir şey etrafında dönen, deveran eden"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>dāra</i> دار <span style=""visibility:hidden;font-size:0px"">z</span> ""döndü"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=f%C4%81%CB%81il"">fāˁil</a> vezninde etken fiil sıfatııdır. </p>";
zamane;"<p> <b>Farsça</b> <i>zamāna</i> زمانه <span style=""visibility:hidden;font-size:0px"">z</span> ""devir, devran, çağ"" sözcüğünden alıntıdır. Farsça sözcük <b>Orta Farsça</b> <i>zəmānag</i> sözcüğünden evrilmiştir. Bu sözcük <b>Orta Farsça</b> <i>zəmān</i> sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Ba"">+a</a> ekiyle türetilmiştir.</p>";
bale;"<p> <b>Fransızca </b> <i>ballet</i> ""gösteri dansı"" sözcüğünden alıntıdır. Fransızca sözcük <b>İtalyanca</b> <i>balletto</i> ""dansçık, kısa gösteri dansı"" sözcüğünden alıntıdır. Bu sözcük <b>İtalyanca</b> <i>ballo</i> ""dans, raks"" sözcüğünün küçültme halidir. </p>";
enbiya;"<p> <b>Arapça</b> <i>nbw</i> kökünden gelen <i>anbiyāˀ</i> أنبياء <span style=""visibility:hidden;font-size:0px"">z</span> ""peygamberler"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>nabī</i> نبى <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=af%CB%81il%C4%81"">afˁilā</a> vezninde çoğuludur. </p>";
kardinal;"<p> <b>Fransızca </b> <i>cardinal</i> ""1. başlıca, en önemli, merkezi, 2. Katolik kilisesinde bir makam"" sözcüğünden alıntıdır. Fransızca sözcük <b>Latince</b> <i>cardinalis</i> ""başlıca, en önemli"" sözcüğünden alıntıdır. Bu sözcük <b>Latince</b> <i>cardo, cardin-</i> ""mihver, eksen, kutup"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bal%C2%B0"">+al°</a> ekiyle türetilmiştir.</p>";
süluk;"<p> <b>Arapça</b> <i>slk</i> kökünden gelen <i>sulūk</i> سلوك <span style=""visibility:hidden;font-size:0px"">z</span> ""yola gitme, bir yol izleme, (mec.) tarikate mensup olma"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>salaka</i> سلك <span style=""visibility:hidden;font-size:0px"">z</span> ""yol gitti, seyahat etti"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fu%CB%81%C5%ABl"">fuˁūl</a> vezninde masdarıdır. </p>";
havil;"<p> <b>Arapça</b> <i>hwl</i> kökünden gelen <i>hawl</i> هول <span style=""visibility:hidden;font-size:0px"">z</span> ""korkma, korku"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>hāla</i> هَالَ <span style=""visibility:hidden;font-size:0px"">z</span> ""korkuttu"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81l"">faˁl</a> vezninde masdarıdır. </p>";
gammaz;"<p> <b>Arapça</b> <i>ġmz</i> kökünden gelen <i>ġammāz</i> غَمّاز <span style=""visibility:hidden;font-size:0px"">z</span> ""1. göz kırpan, 2. biri aleyhine kötü söz söyleyen"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ġamaza</i> غَمَزَ <span style=""visibility:hidden;font-size:0px"">z</span> ""1. göz kırptı, 2. biri hakkında kötü söz söyledi"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81%CB%81%C4%81l"">faˁˁāl</a> vezninde meslek adııdır. </p>";
tıknaz;"<p> <b>Eski Türkçe</b> <i>tıkın-</i> ""teperek tıkmak, doldurmak, fazla yemek"" fiilinden Türkiye Türkçesinde <a class=""presufgram"" href=""?s=structures&amp;ttype=t&amp;ww=%2B%28n%29Az"">+(n)Az</a> ekiyle türetilmi olabilir; ancak bu kesin değildir. </p>";
dominant;"<p> <b>Fransızca </b> <i>dominant </i>veya<i> dominante</i> ""hükmedici, egemen"" sözcüğünden alıntıdır. Fransızca sözcük <b>Fransızca </b> <i>dominer</i> ""hükmetmek, egemen olmak"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bent%C2%B0"">+ent°</a> ekiyle türetilmiştir. Bu sözcük <b>Latince</b> aynı anlama gelen <i>dominare</i> fiilinden alıntıdır. Latince fiil <b>Latince</b> <i>dominus</i> ""hane reisi, efendi"" sözcüğünün isimden türetilmiş fiilidir. </p>";
ibraz;"<p> <b>Arapça</b> <i>brz</i> kökünden gelen <i>ibrāz</i> إبراز <span style=""visibility:hidden;font-size:0px"">z</span> ""ortaya çıkarma"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>baraza</i> برز <span style=""visibility:hidden;font-size:0px"">z</span> ""ortaya çıktı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=if%CB%81%C4%81l"">ifˁāl</a> vezninde (IV) masdarıdır. </p>";
fava;"<p> <b>Yeni Yunanca</b> <i>fáva</i> φάβα <span style=""visibility:hidden;font-size:0px"">z</span> ""bakla"" sözcüğünden alıntıdır. Yunanca sözcük <b>Eski Yunanca</b> aynı anlama gelen <i>phába</i> φάβα <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünden alıntıdır. Bu sözcük <b>Hintavrupa Anadilinde</b> aynı anlama gelen yazılı örneği bulunmayan <i>*bhabhā-</i> biçiminden evrilmiştir. </p>";
kaşkaval;"<p> <b>İtalyanca</b> <i>caciocavallo</i> ""«at peyniri», kaşar peynirine benzeyen Güney İtalya'ya özgü bir tür peynir"" sözcüğünden alıntıdır. İtalyanca sözcük <b>İtalyanca</b> <i>cacio</i> ""peynir"" (NOT: Bu sözcük <b>Latince</b> aynı anlama gelen <i>caseus </i>veya<i> caseum</i> sözcüğünden evrilmiştir. ) ve <b>İtalyanca</b> <i>cavallo</i> ""at"" sözcüklerinin bileşiğidir. </p>";
kezzap;"<p> <b>Farsça</b> <i>tīzāb</i> تيز آب <span style=""visibility:hidden;font-size:0px"">z</span> ""«keskin su», her çeşit asit"" sözcüğünden alıntıdır. </p>";
acun;"<p> <b>Eski Türkçe</b> <i>ajun</i> ""enkarnasyon, dünya, cihan"" sözcüğünden alıntıdır. Eski Türkçe sözcük <b>Soğdca</b> <i>ˀjwn (ajūn)</i> ""yaşam, Budist inançta enkarnasyon"" sözcüğünden alıntıdır. Bu sözcük <b>Soğdca</b> <i>jw-</i> ""yaşamak"" fiilinden türetilmiştir. Soğdca fiil <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*gʷeiə-</i> ""yaşamak, canlı olmak"" biçiminden evrilmiştir. </p>";
kuluçka;"<p> <b>Sırpça </b> <i>kloçka</i> ""tavuğun yumurta üstüne yatması"" sözcüğü ile eş kökenlidir. Sırpça sözcük <b>Bulgarca</b> aynı anlama gelen <i>kvaçka</i> sözcüğü ile eş kökenlidir. </p>";
yatırım;"<p> <b>Türkiye Türkçesi</b> <i>yatır-</i> fiilinden Yeni Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=y&amp;ww=%2BIm"">+Im</a> ekiyle türetilmiştir.</p>";
haseki;"<p> <b>Farsça</b> <i>χāṣṣagī</i> خاصكى <span style=""visibility:hidden;font-size:0px"">z</span> ""hükümdarın gözdesi"" sözcüğünden alıntıdır. Farsça sözcük <b>Arapça</b> <i>χāṣṣ</i> خاصّ <span style=""visibility:hidden;font-size:0px"">z</span> ""seçkin, seçilmiş"" sözcüğünden türetilmiştir. </p>";
çerçeve;"<p> <b>Farsça</b> <i>çārçūba</i> چار چوبه <span style=""visibility:hidden;font-size:0px"">z</span> ""dört çubuk, dörtgen, "" sözcüğünden alıntıdır. Farsça sözcük <b>Farsça</b> <i>çār</i> چار <span style=""visibility:hidden;font-size:0px"">z</span> ""dört"" ve <b>Farsça</b> <i>çūba</i> چوبه <span style=""visibility:hidden;font-size:0px"">z</span> ""çubuk"" sözcüklerinin bileşiğidir. (NOT: Farsça sözcük <b>Orta Farsça</b> aynı anlama gelen <i>çobak</i> sözcüğünden evrilmiştir. ) </p>";
yüksük;"<p> <b>Eski Türkçe</b> <i>yügsük</i> ""terzilerin kullandığı parmak muhafazası"" sözcüğünden evrilmiştir. Eski Türkçe sözcük <b>Eski Türkçe</b> <i>yig </i>veya<i> yik</i> ""dikiş iğnesi"" sözcüğünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BsUk"">+sUk</a> ekiyle türetilmiştir.</p>";
teşvik;"<p> <b>Arapça</b> <i>şwḳ</i> kökünden gelen <i>taşwīḳ</i> تشويق <span style=""visibility:hidden;font-size:0px"">z</span> ""istetme, arzulamasına neden olma"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>şāḳa</i> شَاقَ <span style=""visibility:hidden;font-size:0px"">z</span> ""istedi, arzuladı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=taf%CB%81%C4%ABl"">tafˁīl</a> vezninde (II) masdarıdır. </p>";
vücut;"<p> <b>Arapça</b> <i>wcd</i> kökünden gelen <i>wucūd</i> وجود <span style=""visibility:hidden;font-size:0px"">z</span> ""varoluş, mevcudiyet"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>wacada</i> وَجَدَ <span style=""visibility:hidden;font-size:0px"">z</span> ""buldu, bulundu, varoldu"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fu%CB%81%C5%ABl"">fuˁūl</a> vezninde masdarıdır. </p>";
kulun;"<p> <b>Eski Türkçe</b> <i>kulun</i> ""at yavrusu"" sözcüğünden evrilmiştir. </p>";
görümce;"<p> <b>Eski Türkçe</b> <i>körümçi</i> ""görücü; falcı, müneccim"" sözcüğünden evrilmiştir. Eski Türkçe sözcük <b>Eski Türkçe</b> <i>körüm</i> ""görme, bakım"" sözcüğünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2B%C3%A7I"">+çI</a> ekiyle türetilmiştir. Bu sözcük <b>Eski Türkçe</b> <i>kör-</i> fiilinden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BIm"">+Im</a> ekiyle türetilmiştir.</p>";
dekuple;"<p> <b>Fransızca </b> <i>découpler</i> ""çift olan bir şeyi ayırmak"" fiilinden alıntıdır. Fransızca fiil <b>Fransızca </b> <i>coupler</i> ""çift kılmak, çift koşmak"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=de%2B"">de+</a> önekiyle türetilmiştir.</p>";
içeri;"<p> <b>Eski Türkçe</b> <i>içgerü</i> ""içe doğru, içte olan"" sözcüğünden evrilmiştir. Eski Türkçe sözcük <b>Eski Türkçe</b> <i>iç</i> sözcüğünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2B%28g%29ArU"">+(g)ArU</a> ekiyle türetilmiştir.</p>";
fetiş;"<p> <b>Fransızca </b> <i>fétiche</i> ""doğaüstü güçler atfedilen nesne"" sözcüğünden alıntıdır. (İlk kullanımı: <u>1760 C. de Brosses, Le Culte des Dieux Fétiches'de.</u>) Fransızca sözcük <b>Portekizce </b> <i>feitiço</i> ""1. el yapımı, mamul, 2. Afrika'nın Gine sahiline özgü tılsım heykelciği"" sözcüğünden alıntıdır. Bu sözcük <b>Geç Latince</b> <i>facticius</i> ""el yapımı, mamul"" sözcüğünden evrilmiştir. Geç Latince sözcük <b>Latince</b> <i>facere, fact-</i> ""yapmak"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bic%C2%B0"">+ic°</a> ekiyle türetilmiştir.</p>";
dağıt|mak;"<p> <b>Eski Türkçe</b> <i>tarıt-</i> ""tohum saçmak, ekin ekmek veya ektirmek"" sözcüğünden evrilmiştir. Eski Türkçe sözcük <b>Eski Türkçe</b> <i>tar-</i> ""saçmak, dağıtmak"" sözcüğünden türetilmiştir. </p>";
dansite;"<p> <b>Fransızca </b> <i>densité</i> ""yoğunluk"" sözcüğünden alıntıdır. Fransızca sözcük <b>Latince</b> aynı anlama gelen <i>densitas</i> sözcüğünden alıntıdır. Bu sözcük <b>Latince</b> <i>densus</i> ""yoğun"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2Bitas"">+itas</a> ekiyle türetilmiştir. Latince sözcük <b>Hintavrupa Anadilinde</b> aynı anlama gelen yazılı örneği bulunmayan <i>*dens-<sup>2</sup></i> biçiminden evrilmiştir. </p>";
davlumbaz;"<p> <b>Farsça</b> <i>tabl-bāz</i> ""davul çalan, davulcu"" sözcüğünden alıntıdır. Farsça sözcük <b>Farsça ve Türkçe</b> <i>tabl </i>veya<i> ṭawl</i> ""davul"" sözcüğünden türetilmiştir. </p>";
gürgen;<p> Bu sözcüğün kökeni belirsizdir. </p>;
