word;etymology;related
acz;"<p> <b>Arapça</b> <i>ˁcz</i> kökünden gelen <i>ˁacz</i> عجز <span style=""visibility:hidden;font-size:0px"">z</span> ""güçsüzlük, düşkünlük"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁaciza</i> عجز <span style=""visibility:hidden;font-size:0px"">z</span> ""güçsüz idi, düşkün idi"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81l"">faˁl</a> vezninde masdarıdır. </p>";"<p><a href=""?k=%C3%A2ciz&amp;lnk=1"" style=""text-decoration:underline;color:"">âciz</a>, <a href=""?k=acuze&amp;lnk=1"" style=""text-decoration:underline;color:"">acuze</a>, <a href=""?k=berdelacuz&amp;lnk=1"" style=""text-decoration:underline;color:"">berdelacuz</a>, <a href=""?k=mucize&amp;lnk=1"" style=""text-decoration:underline;color:"">mucize</a>, <a href=""?k=taciz&amp;lnk=1"" style=""text-decoration:underline;color:"">taciz</a> </p>"
abart|mak;"<p> <i>abarı </i>veya<i> abaru</i> ""hayret ünlemi"" ünleminden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2BIt-"">+It-</a> ekiyle türetilmi olabilir; ancak bu kesin değildir. </p>";<p>abarma, abartı, abartılmak</p>
add;"<p> <b>Arapça</b> <i>ˁdd</i> kökünden gelen <i>ˁadd</i> عدّ <span style=""visibility:hidden;font-size:0px"">z</span> ""sayma, sanma; sayı, sanı"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁadda</i> عدّ <span style=""visibility:hidden;font-size:0px"">z</span> ""saydı, sandı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81l"">faˁl</a> vezninde masdarıdır. </p>";"<p><a href=""?k=adet1&amp;lnk=1"" style=""text-decoration:underline;color:"">adet<sup>1</sup></a>, <a href=""?k=idadi&amp;lnk=1"" style=""text-decoration:underline;color:"">idadi</a>, <a href=""?k=istidat&amp;lnk=1"" style=""text-decoration:underline;color:"">istidat</a>, <a href=""?k=tadat&amp;lnk=1"" style=""text-decoration:underline;color:"">tadat</a> </p>"
adavet;"<p> <b>Arapça</b> <i>ˁdw</i> kökünden gelen <i>ˁadāwa(t)</i> عداوة <span style=""visibility:hidden;font-size:0px"">z</span> ""düşmanlık"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁaduww</i> عَدُوّ <span style=""visibility:hidden;font-size:0px"">z</span> ""düşman"" sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81%C4%81la%28t%29"">faˁāla(t)</a> vezninde masdarıdır. Bu sözcük <b>Arapça</b> <i>ˁadā</i> عدا <span style=""visibility:hidden;font-size:0px"">z</span> ""1. öte geçti, 2. öç besledi, düşman idi"" fiilinden türetilmiştir. </p>";
ada|mak;"<p> <b>Eski Türkçe</b> <i>atā-</i> ""ad vermek, söz vermek, söz kesmek, çağırmak"" fiilinden evrilmiştir. Eski Türkçe fiil <b>Eski Türkçe</b> <i>āt</i> ""isim"" sözcüğünden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2B%28g%29A-"">+(g)A-</a> ekiyle türetilmiştir.</p>";"<p><a href=""?k=adak&amp;lnk=1"" style=""text-decoration:underline;color:"">adak</a> </p>"
absürt;"<p> <b>Fransızca </b> <i>absurd</i> ""saçma, anlamsız"" sözcüğünden alıntıdır. Fransızca sözcük <b>Latince</b> aynı anlama gelen <i>absurdus</i> sözcüğünden alıntıdır. Bu sözcük <b>Latince</b> <i>surdus</i> ""sağır ve dilsiz"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ab%2B"">ab+</a> önekiyle türetilmiştir. Latince sözcük <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*sur-do-</i> ""sağır, dilsiz, boğuk sesli"" biçiminden evrilmiştir. </p>";<p>absürdist</p>
ablak;"<p> <b>Arapça</b> <i>blḳ</i> kökünden gelen <i>ablaḳ</i> أبْلَق <span style=""visibility:hidden;font-size:0px"">z</span> ""aklı karalı (at rengi)"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>balaḳ</i> بَلَقَ <span style=""visibility:hidden;font-size:0px"">z</span> ""aklı karalı olma, alacalı olma"" sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=af%CB%81al"">afˁal</a> vezninde sıfatıdır. </p>";
abrakadabra;"<p> <b>Fransızca ve İngilizce </b> <i>abra cadabra</i> ""büyü sözü"" deyiminden alıntıdır. Fransızca deyim <b>Latince</b> aynı anlama gelen <i>abra cadabra</i> deyiminden alıntıdır. </p>";
abla;"<p> <b>Eski Türkçe</b> <i>apa</i> ""büyük kızkardeş, ana, nine"" sözcüğünden evrilmiştir. Eski Türkçe sözcük çocuk dilinden türetilmiştir. </p>";<p>ablacı, ablacılık</p>
abdal;"<p> <b>Arapça</b> <i>bdl</i> kökünden gelen <i>abdāl</i> أبدال <span style=""visibility:hidden;font-size:0px"">z</span> ""1. bedeller, 2. dilenci derviş, kalender"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>badal</i> بدل <span style=""visibility:hidden;font-size:0px"">z</span> ""eşdeğer, bedel"" sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=af%CB%81%C4%81l"">afˁāl</a> vezninde çoğuludur. </p>";"<p><a href=""?k=aptal&amp;lnk=1"" style=""text-decoration:underline;color:"">aptal</a>, <a href=""?k=budala&amp;lnk=1"" style=""text-decoration:underline;color:"">budala</a> </p>"
absorbe;"<p> <b>Fransızca </b> <i>absorber</i> ""emmek, özümsemek"" fiilinden alıntıdır. Fransızca fiil <b>Latince</b> <i>absorbere</i> ""bütün olarak yutmak, silip süpürmek"" fiilinden alıntıdır. Bu sözcük <b>Latince</b> <i>sorbere</i> ""emmek"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ab%2B"">ab+</a> önekiyle türetilmiştir. Latince fiil <b>Hintavrupa Anadilinde</b> aynı anlama gelen yazılı örneği bulunmayan <i>*srebh-</i> biçiminden evrilmiştir. </p>";
adalet;"<p> <b>Arapça</b> <i>ˁdl</i> kökünden gelen <i>ˁadāla(t)</i> عدالة <span style=""visibility:hidden;font-size:0px"">z</span> ""adillik, hak gözetme"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁadala</i> عَدَلَ <span style=""visibility:hidden;font-size:0px"">z</span> ""denk idi, oran ve ölçülü idi, adil idi"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81%C4%81la%28t%29"">faˁāla(t)</a> vezninde masdarıdır. </p>";
abd;"<p> <b>Arapça</b> <i>ˁbd</i> kökünden gelen <i>ˁabd</i> عبد <span style=""visibility:hidden;font-size:0px"">z</span> ""kul, köle, hizmetkâr"" sözcüğünden alıntıdır. Arapça sözcük <b>Aramice/Süryanice</b> <i>ˁbd</i> kökünden gelen aynı anlama gelen <i>ˁabed</i> עֲבֵד <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğü ile eş kökenlidir. Bu sözcük <b>Akatça</b> aynı anlama gelen <i>abdu</i> sözcüğü ile eş kökenlidir. </p>";"<p><a href=""?k=abit&amp;lnk=1"" style=""text-decoration:underline;color:"">abit</a> (<a href=""?k=ibadullah&amp;lnk=1"" style=""text-decoration:underline;color:"">ibadullah</a>), <a href=""?k=ibadet&amp;lnk=1"" style=""text-decoration:underline;color:"">ibadet</a>, <a href=""?k=mabet&amp;lnk=1"" style=""text-decoration:underline;color:"">mabet</a>, <a href=""?k=mabut&amp;lnk=1"" style=""text-decoration:underline;color:"">mabut</a>, <a href=""?k=ubudiyet&amp;lnk=1"" style=""text-decoration:underline;color:"">ubudiyet</a> </p>"
adese;"<p> <b>Arapça</b> <i>ˁds</i> kökünden gelen <i>ˁadasa(t)</i> عدسة <span style=""visibility:hidden;font-size:0px"">z</span> ""mercimek tanesi"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁds</i> kökünden gelen <i>ˁadas</i> عدس <span style=""visibility:hidden;font-size:0px"">z</span> ""mercimek"" sözcüğünün ismi merresidir. </p>";<p>adesî</p>
açı;"<p> <b>Türkiye Türkçesi</b> <i>aç-</i> fiilinden Yeni Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=y&amp;ww=%2BI%28g%29"">+I(g)</a> ekiyle türetilmiştir.</p>";
aceze;"<p> <b>Arapça</b> <i>ˁcz</i> kökünden gelen <i>ˁacaza(t)</i> عجزة <span style=""visibility:hidden;font-size:0px"">z</span> ""acizler, düşkünler"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁacīz</i> عجيز <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünün <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81ala%28t%29"">faˁala(t)</a> vezninde çoğuludur. </p>";
acem;"<p> <b>Arapça</b> <i>ˁcm</i> kökünden gelen <i>aˁcam</i> أعجم <span style=""visibility:hidden;font-size:0px"">z</span> ""Arapça bilmeyen, barbar, özellikle İranlı"" sözcüğünden alıntıdır. Arapça sözcük <b>İbranice ve Aramice/Süryanice</b> <i>agamah</i> אגּמָּה <span style=""visibility:hidden;font-size:0px"">z</span> ""halk, kavim, özellikle yabancı kavim, Romalı"" sözcüğünden alıntıdır. Bu sözcük <b>İbranice ve Aramice/Süryanice</b> <i>agam</i> אגם <span style=""visibility:hidden;font-size:0px"">z</span> ""anne"" sözcüğünden türetilmiştir. </p>";<p>acemaşiran, acemborusu, acembuselik, acemi, acemilik, acemkürdi</p>
aç|mak;<p> <b>Eski Türkçe</b> aynı anlama gelen <i>aç-</i> fiilinden evrilmiştir. </p>;"<p><a href=""?k=a%C3%A7%C4%B1&amp;lnk=1"" style=""text-decoration:underline;color:"">açı</a>, <a href=""?k=a%C3%A7%C4%B1k&amp;lnk=1"" style=""text-decoration:underline;color:"">açık</a>, <a href=""?k=a%C3%A7%C4%B1kla-&amp;lnk=1"" style=""text-decoration:underline;color:"">açıkla-</a>, <a href=""?k=a%C3%A7k%C4%B1&amp;lnk=1"" style=""text-decoration:underline;color:"">açkı</a>, <a href=""?k=a%C3%A7ma&amp;lnk=1"" style=""text-decoration:underline;color:"">açma</a>, <a href=""?k=a%C3%A7maz&amp;lnk=1"" style=""text-decoration:underline;color:"">açmaz</a>, <a href=""?k=kola%C3%A7an&amp;lnk=1"" style=""text-decoration:underline;color:"">kolaçan</a>, <a href=""?k=kula%C3%A7&amp;lnk=1"" style=""text-decoration:underline;color:"">kulaç</a> </p>"
adam;"<p> <b>Arapça</b> <i>Adm</i> kökünden gelen <i>ādam</i> آدم <span style=""visibility:hidden;font-size:0px"">z</span> ""1. insanların atası, Adem, 2. insanoğlu"" sözcüğünden alıntıdır. Arapça sözcük <b>İbranice </b> aynı anlama gelen <i>ˀādām</i> אָדָם <span style=""visibility:hidden;font-size:0px"">z</span> sözcüğünden alıntıdır. Bu sözcük <b>İbranice </b> <i>ˀādamā</i> אדמה <span style=""visibility:hidden;font-size:0px"">z</span> ""toprak"" sözcüğü ile eş kökenli olabilir; ancak bu kesin değildir. </p>";"<p><a href=""?k=adamc%C4%B1l&amp;lnk=1"" style=""text-decoration:underline;color:"">adamcıl</a>, <a href=""?k=beni%20Adem&amp;lnk=1"" style=""text-decoration:underline;color:"">beni Adem</a> </p>"
abajur;"<p> <b>Fransızca </b> <i>abat-jour</i> ""«gün-kısan», lamba siperi"" sözcüğünden alıntıdır. Fransızca sözcük <b>Fransızca </b> <i>abat</i> ""kısar"" (NOT: Bu sözcük <b>Fransızca </b> <i>abattre</i> ""kısmak, düşürmek"" fiilinden türetilmiştir. ) ve <b>Fransızca </b> <i>jour</i> ""gün, ışık"" sözcüklerinin bileşiğidir. (NOT: Fransızca sözcük <b>Latince</b> <i>diurnus</i> ""gün"" sözcüğünden evrilmiştir. Latince sözcük <b>Latince</b> <i>dies</i> ""gün, gündüz"" sözcüğünden türetilmiştir. ) </p>";"<p><a href=""?k=panjur&amp;lnk=1"" style=""text-decoration:underline;color:"">panjur</a> </p>"
aborda;"<p> <b>İtalyanca</b> <i>abborda</i> ""yanaş!"" sözcüğünden alıntıdır. İtalyanca sözcük <b>İtalyanca</b> <i>abbordare</i> ""yanaşmak, kenarına bitişmek"" fiilinden türetilmiştir. Bu sözcük <b>İtalyanca</b> <i>bordo</i> ""kenar, kıyı"" sözcüğünden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ad%2B"">ad+</a> önekiyle türetilmiştir.</p>";
abes;"<p> <b>Arapça</b> <i>ˁbs̠</i> kökünden gelen <i>ˁabaṯ</i> عَبَث <span style=""visibility:hidden;font-size:0px"">z</span> ""oyalanma, boşa geçirilen zaman"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁabiṯa</i> عَبِثَ <span style=""visibility:hidden;font-size:0px"">z</span> ""oyalandı"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=fa%CB%81al"">faˁal</a> vezninde masdarıdır. </p>";
aberasyon;"<p> <b>Fransızca </b> <i>aberration</i> ""sapma, yanlış yola girme"" sözcüğünden alıntıdır. Fransızca sözcük <b>Latince</b> aynı anlama gelen <i>aberratio</i> sözcüğünden alıntıdır. Bu sözcük <b>Latince</b> <i>aberrare</i> ""yoldan sapmak, hata etmek"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=for&amp;ww=%2B%28%29tion"">+()tion</a> ekiyle türetilmiştir. Latince fiil <b>Latince</b> <i>errare</i> ""dolaşmak, düz değil dolambaçlı gitmek, yoldan sapmak"" fiilinden <a class=""presufgram"" href=""?s=structures&amp;ttype=p&amp;ww=ab%2B"">ab+</a> önekiyle türetilmiştir.</p>";
abur cubur;"<p> ""gürültülü yeme desi"" ses yansımalı sözcüğünden türetilmiştir. </p>";
abril;"<p> <b>Yeni Yunanca</b> <i>aprílios</i> απρίλιος <span style=""visibility:hidden;font-size:0px"">z</span> ""Nisan ayı"" sözcüğünden alıntıdır. Yunanca sözcük <b>Latince</b> aynı anlama gelen <i>aprilis</i> sözcüğünden alıntıdır. Bu sözcük <b>Etrüskçe </b> <i>Apru</i> ""Etrüsklerde bir tanrıça"" sözcüğünden türetilmiştir. </p>";
açelya;"<p> <b>İtalyanca</b> <i>azalea</i> ""kumlu toprakta yetişen bir çiçek"" sözcüğünden alıntıdır. İtalyanca sözcük <b>Yeni Latince</b> aynı anlama gelen <i>azalea</i> sözcüğünden alıntıdır. (İlk kullanımı: <u>Linnaeus, İsv. doğabilimci (1707-1778).</u>) Bu sözcük <b>Eski Yunanca</b> <i>azaléos</i> αζαλέος <span style=""visibility:hidden;font-size:0px"">z</span> ""susamış, susuzluktan yanan"" sözcüğünden türetilmiştir. Yunanca sözcük <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*asd-</i> biçiminden evrilmiştir. Bu biçim <b>Hintavrupa Anadilinde</b> yazılı örneği bulunmayan <i>*as-</i> ""yanmak"" kökünden türetilmiştir. </p>";<p>açalya</p>
adenoid;"<p> <b>İngilizce </b> <i>adenoid</i> ""burun eti adı verilen lenf bezleri"" sözcüğünden alıntıdır. İngilizce sözcük <b>Eski Yunanca</b> <i>adenoeidēs</i> ἀδενοειδής <span style=""visibility:hidden;font-size:0px"">z</span> ""bez-benzeri"" sözcüğünden alıntıdır. Bu sözcük <b>Eski Yunanca</b> <i>adḗn, adénos</i> ἀδήν <span style=""visibility:hidden;font-size:0px"">z</span> ""gland, salgı bezi, özellikle pankreas veya uykuluk"" sözcüğünden türetilmiştir. </p>";
abone;"<p> <b>Fransızca </b> <i>abonné</i> ""(süreli bir yayın için) taahhüt etmiş"" veya <b>Fransızca </b> <i>s'abonner</i> ""taksitli borç üstlenmek, abone olmak"" sözcüğünden alıntıdır. (NOT: Bu sözcük <b>Geç Latince</b> aynı anlama gelen <i>abonare </i>veya<i> abornare</i> sözcüğünden evrilmiştir. ) Geç Latince sözcük <b>Fransızca </b> <i>bonne </i>veya<i> borne</i> ""sınır, vade"" sözcüğünden türetilmiş olabilir; ancak bu kesin değildir. </p>";<p>abonman</p>
adana;"<p> <i>Adana</i> ""kent adı"" <b>özel adından</b> türetilmiştir. </p>";
abdest;"<p> <b>Farsça</b> <i>ābdast </i>veya<i> āb-i dast</i> آبدست/آب دست <span style=""visibility:hidden;font-size:0px"">z</span> ""«el suyu», el yıkama, namaz öncesi törensel yıkanma"" deyiminden alıntıdır. </p>";
abullabut;"<p> <b>Türkiye Türkçesi</b> <i>ebū-lobūṭ</i> أبو اللبوط <span style=""visibility:hidden;font-size:0px"">z</span> ""«kalın sopalı», ahmak ve yabani kişi anlamında bir lakap"" sözcüğünden evrilmiştir. </p>";
acı;"<p> <b>Eski Türkçe</b> <i>açıġ</i> ""1. acı tad, 2. ağrı, sancı"" sözcüğünden evrilmiştir. Eski Türkçe sözcük <b>Eski Türkçe</b> <i>açı-</i> ""acımak"" fiilinden Eski Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=e&amp;ww=%2BI%28g%29"">+I(g)</a> ekiyle türetilmiştir.</p>";
abluka;"<p> <b>İtalyanca</b> <i>blocco</i> ""bahriyede bir limanı giriş çıkışı kesecek şekilde muhasara etme"" sözcüğünden alıntıdır. İtalyanca sözcük <b>Fransızca </b> aynı anlama gelen <i>blocus</i> sözcüğünden alıntıdır. Bu sözcük <b>Holandaca </b> <i>bloc-huis</i> ""müstahkem mevki, karakol"" sözcüğünden alıntıdır. </p>";
aday;"<p> <b>Türkiye Türkçesi</b> <i>ad</i> sözcüğünden Yeni Türkçe <a class=""presufgram"" href=""?s=structures&amp;ttype=y&amp;ww=%2B%28g%29Ay"">+(g)Ay</a> ekiyle türetilmiştir.</p>";
abra|mak;"<p> <b>Moğolca </b> <i>abura-</i> ""korumak, kurtarmak, yardım etmek"" sözcüğü ile eş kökenlidir. </p>";<p>abranmak, abratmak</p>
âciz;"<p> <b>Arapça</b> <i>ˁcz</i> kökünden gelen <i>ˁāciz</i> عاجز <span style=""visibility:hidden;font-size:0px"">z</span> ""acz gösteren, güçsüz"" sözcüğünden alıntıdır. Arapça sözcük <b>Arapça</b> <i>ˁaciza</i> عجز <span style=""visibility:hidden;font-size:0px"">z</span> ""güçsüz ve düşkün idi"" fiilinin <a class=""presufgram"" href=""?s=structures&amp;ttype=v&amp;ww=f%C4%81%CB%81il"">fāˁil</a> vezninde etken fiil sıfatııdır. </p>";
abaza;<p> Bu sözcüğün kökeni belirsizdir. </p>;
